daymd;day;mtemp;mRH;mCO2;compartment;dd_start;dd_emergence;dd_harvest1;datetime;%DateTime [OLE Automation date];comp1.Air.T [oC];comp1.Air.RH [%];comp1.Air.ppm [ppm];comp1.TCan0.Value [oC];comp1.TCan1.Value [oC];comp1.TCan2.Value [oC];comp1.TCan3.Value [oC];common.Azimuth.Value [deg];common.Elevation.Value [deg];common.Iglob.Value [W/m2];common.Meteo.PAR [umol/s];comp1.PARsensor.Above [umol/s];comp1.Lmp1.PARup [umol/s];comp1.Crop.LAI [-];comp1.Scr1.Pos [0-1];comp1.ConLmp1.PowerFac [-];comp1.Setpoints.SpHeat [oC];comp1.Setpoints.SpVent [oC];comp1.Setpoints.SpHum [%/dX];comp1.Setpoints.SpCO2 [ppm];comp1.PARsensor.Transm [%];Data.Tair.Value [?];Data.RHair.Value [?];Data.CO2air.Value [?];comp1.Can0.PARup [umol/s];comp1.Can1.PARup [umol/s];comp1.Can2.PARup [umol/s];comp1.Can3.PARup [umol/s]
9-10-2021;282;20.85381944;67.78472222;436.25;1;507.3205708;388.2184028;0;2021-10-09;44478.4791666667;20.85;64.7708333333333;436.416666666667;20.3375;20.3625;20.3791666666667;20.3833333333333;180.616666666667;-5.49791666666667;144.875;279.979666666667;235.529411764706;121.208333333333;0.17;0;0.260416666666667;20.6666666666667;21.6666666666667;70;570.916666666667;21.475;20.8541666666667;67.7916666666667;436.416666666667;166.833333333333;160.541666666667;150.291666666667;144.75
10-10-2021;283;20.98020833;68.81944444;452.1215278;1;524.3007791;405.1986111;0;2021-10-10;44479.4791666667;20.9625;63.4333333333333;451.708333333333;20.275;20.2958333333333;20.3125;20.3166666666667;180.495833333333;-5.84125;121.666666666667;235.095916666667;245.117647058824;105.583333333333;0.17;0;0.368083333333333;20.6666666666667;21.6666666666667;70;562.25;28.1541666666667;20.9583333333333;68.5375;451.875;173.625;167.208333333333;156.5;150.833333333333
11-10-2021;284;20.98472222;69.67361111;445.34375;1;541.2855014;422.1833333;0;2021-10-11;44480.4791666667;21.2458333333333;67.8458333333333;446.041666666667;20.9291666666667;20.9291666666667;20.9458333333333;20.9541666666667;180.591666666667;-6.18041666666667;81.5416666666667;157.641875;230.352941176471;76.0833333333333;0.17;0;0.454875;20.6625;21.6625;70;567.125;32.7791666666667;21.0083333333333;69.8666666666667;446.125;163.166666666667;157.125;147.208333333333;141.958333333333
12-10-2021;285;20.82465278;68.12847222;435.4826389;1;558.1101541;439.0079861;16.82465278;2021-10-12;44481.4791666667;21.1875;66.95;435.083333333333;20.725;20.725;20.7333333333333;20.7583333333333;180.641666666667;-6.51458333333333;66.9166666666667;129.320125214583;224.235294117647;64.0416666666667;0.17;0;0.489625;20.6666666666667;21.6666666666667;70;563.625;34.3416666666667;20.825;68.2333333333333;435.125;158.833333333333;153;143.208333333333;138.25
13-10-2021;286;21.11215278;69.44791667;429.5694444;1;575.2223069;456.1201389;33.93680556;2021-10-13;44482.4791666667;20.9458333333333;65.9541666666667;429.916666666667;20.2166666666667;20.2166666666667;20.225;20.2375;180.566666666667;-6.8575;66.4166666666667;128.490250429167;223.294117647059;66.25;0.17;0;0.475666666666667;20.6666666666667;21.6666666666667;70;566.083333333333;34.6083333333333;21.1;69.1416666666667;429.916666666667;158.166666666667;152.333333333333;142.666666666667;137.583333333333
14-10-2021;287;21.15902778;72.38888889;424.8611111;1;592.3813347;473.2791667;51.09583333;2021-10-14;44483.4791666667;21.2375;67.8291666666667;424.416666666667;20.8416666666667;20.8416666666667;20.8416666666667;20.8666666666667;180.620833333333;-7.19208333333333;37.4166666666667;72.4409585479167;246.647058823529;46.125;0.17;0;0.652791666666667;20.6666666666667;21.6666666666667;70;556.416666666667;44.6791666666667;21.1583333333333;72.325;424.416666666667;174.708333333333;168.125;157.708333333333;152.125
15-10-2021;288;20.92638889;69.26736111;432.3229167;1;609.3077236;490.2055556;68.02222222;2021-10-15;44484.4791666667;21.2208333333333;67.0458333333333;431.916666666667;21.0083333333333;21.0208333333333;21.0333333333333;21.05;180.583333333333;-7.51875;104.5;201.805;246.647058823529;92.6666666666667;0.17;0;0.434;20.6666666666667;21.6666666666667;70;555.666666666667;29.3416666666667;20.9416666666667;69.6666666666667;432;174.708333333333;168.125;157.416666666667;151.875
16-10-2021;289;21.02777778;68.88888889;435.9131944;1;626.3355014;507.2333333;85.05;2021-10-16;44485.4791666667;20.9666666666667;65.3208333333333;436.416666666667;20.1791666666667;20.2;20.2166666666667;20.2125;180.683333333333;-7.85625;68.7083333333333;132.779166666667;228.352941176471;62.7083333333333;0.17;0;0.510458333333333;20.6666666666667;21.6666666666667;70;560.875;33.1708333333333;21.0541666666667;68.6875;436.416666666667;161.75;155.791666666667;145.958333333333;140.791666666667
17-10-2021;290;21.02361111;69.77777778;423.9270833;1;643.3591125;524.2569444;102.0736111;2021-10-17;44486.4791666667;21.1041666666667;67.6791666666667;423.958333333333;20.575;20.575;20.5875;20.5916666666667;180.570833333333;-8.18541666666667;61;117.8625;241.823529411765;63.25;0.17;0;0.555541666666667;20.6666666666667;21.6666666666667;70;559.125;36.9375;21.0291666666667;69.7958333333333;424;171.291666666667;164.916666666667;154.5;149.083333333333
18-10-2021;291;20.99618056;70.44791667;426.5833333;1;660.355293;541.253125;119.0697917;2021-10-18;44487.4791666667;21.0208333333333;66.725;426.125;20.3791666666667;20.3833333333333;20.3916666666667;20.4;180.4875;-8.51041666666667;78.4166666666667;151.414583333333;219.411764705882;73.75;0.17;0;0.427083333333333;20.6666666666667;21.6666666666667;70;562.958333333333;30.3125;20.9833333333333;70.2583333333333;426.125;155.416666666667;149.625;140.166666666667;135.166666666667
