time_step,day_of_year,day_length,thermTime,absorbed_light,tot_assimilates,tot_biomass,tot_leafBiomass,tot_stemBiomass,tot_yield,nb_phytomers,nb_leaves,nb_trusses,height,tot_leafArea
18,277,16.0,289.6013889312744,0.0,2.7987811922699954,599.1891803494309,1.796633843904449,6.436932111560518,0.0,1,1,0,0.010458228178322315,4.7743349265312113E-4
19,278,16.0,306.6722221374512,0.049082068462726204,188.39066614304795,602.5703645762687,7.910706194813249,13.827163111606305,0.0,1,1,0,0.011081056669354439,0.0010423402802504143
20,279,16.0,323.84305572509766,0.11776122704442094,442.72469917141063,611.0435135724341,22.237929561876825,26.0252759787819,0.0,2,2,0,0.012391547672450542,0.002193991411060206
21,280,16.0,340.9847221374512,0.23550243327942622,886.8318421576644,628.8268500255648,48.89559614846216,44.33029674304086,0.0,2,2,0,0.014160482212901115,0.0035523598592930306
22,281,16.0,358.02638816833496,0.36821266318443996,1392.6319948712933,656.5783625861266,92.69614397786735,70.1772486316527,0.0,3,3,0,0.01696973294019699,0.005615027822372455
23,282,16.0,374.8763885498047,0.7607276311014419,2367.3297110844587,705.6878624705464,158.032313626166,104.71252244509499,0.0,3,3,0,0.02065044641494751,0.008003925318870737
24,283,16.0,391.83888816833496,1.056697418315535,3429.7624927889556,776.9506307040931,252.04832710889457,150.2915257896663,0.0,4,4,0,0.02595907635986805,0.01128234407035741
25,284,16.0,409.08472061157227,1.6049034928972108,5044.7817088654165,883.1352957587981,383.0099091562354,209.51373525646608,0.0,4,4,0,0.03297635167837143,0.015170050860598434
26,285,16.0,426.27222061157227,1.9810939267588288,6621.818883058295,1022.1218627715978,553.6040246865731,282.6559208636679,0.0,4,4,0,0.04188236594200134,0.01965829059254441
27,286,16.0,443.218053817749,2.4106100962210184,8333.138893667754,1045.9266368259619,830.7,155.32026501056774,0.0,5,5,0,0.13466666638851166,0.025742000100000002
28,287,16.0,460.45555305480957,2.6281364563133622,10069.679389065697,1264.5681394625692,1029.9439461820657,234.18104148783317,0.0,5,5,0,0.14869557321071625,0.03220863298685872
29,288,16.0,477.6763858795166,4.94114655065341,15989.680505187895,1625.9849411566804,1291.1478872459306,334.3413732284981,0.0,6,6,0,0.16570568084716797,0.04002360724043274
30,289,16.0,494.64305305480957,5.772432113297593,18619.612728326276,2044.8600479182267,1596.1491822328596,448.16044991346826,0.0,6,6,0,0.18494638800621033,0.048696590176977916
31,290,16.0,511.74721908569336,6.105580858350669,20584.662842694033,2504.5721055983477,1933.0635928036095,570.9036841103753,0.0,7,7,0,0.207049161195755,0.058938046954796944
32,291,16.0,528.7680530548096,7.441952474949936,24702.817517587464,3055.7012289112126,2339.2472153688705,715.7895864348048,0.0,7,7,0,0.2310204803943634,0.07023564317058205
33,292,16.0,546.0597190856934,7.624472014730563,26800.86701397357,3648.9372653996215,2778.6373811221592,869.5765352546164,0.0,8,8,0,0.25740790367126465,0.0833301753802332
34,293,16.0,563.3430519104004,9.268581477441135,32261.7131862345,4363.588382361294,3310.2576498371086,1052.5417426440654,0.0,8,8,0,0.2850252091884613,0.09760267377217868
35,294,16.0,580.6097183227539,10.668443332972137,37400.675858538896,5190.274381821684,3926.8926079659554,1262.1205331596175,0.4015393347052168,9,8,1,0.31390810012817383,0.11298628621862214
36,295,16.0,597.4763851165771,11.728918587264356,41736.40135580433,6108.311007335516,4612.144173451822,1493.0969487952143,2.1364704441824274,9,8,1,0.3427506685256958,0.1290048306076258
37,296,16.0,614.3805522918701,13.261638506281269,47565.236244109794,7151.890474496645,5390.511957535656,1754.0053691439539,6.3605759782909335,9,8,1,0.37208592891693115,0.14594780617739347
38,297,16.0,631.1222190856934,14.02076757485653,51286.32654568753,8269.156987185173,6222.322131015619,2031.8339119532548,13.907893651446232,10,9,1,0.4018595516681671,0.16393973647790328
39,298,16.0,648.1180515289307,15.89854423547768,57993.32391208966,9530.051048977504,7158.5796966610105,2343.8453716786603,26.44636814883949,10,9,1,0.4323955774307251,0.18291434583262625
40,299,16.0,665.3763847351074,17.199525588081684,63417.55370596036,10902.091260929186,8173.988715673394,2681.8386505889302,44.994242270974,11,10,1,0.46407052874565125,0.20324285374624107
41,300,16.0,682.6805515289307,19.468023486950745,71261.31792334003,12441.253650609651,9308.742902685039,3059.4354424733788,71.70874651888482,11,10,1,0.49603691697120667,0.22413467056351744
